fixture,conversation_id,user_turns,session_outcome,overall_confidence,aggregate_confidence,tailored_support_level,recommended_next_move,overreach_risk,dropoff_risk_rate,dropoff_risk_level,expected_user_goal,inferred_user_goal,confidence_user_goal,expected_trust_posture,inferred_trust_posture,confidence_trust_posture,expected_ai_literacy_level,inferred_ai_literacy_level,confidence_ai_literacy_level,expected_risk_adversarial_intent,inferred_risk_adversarial_intent,confidence_risk_adversarial_intent,dimension_mismatch_count
01_confused_identity_changed_sim.json,scenario-01-confused-identity-changed-sim,4,not_specified,0.513092,0.861079,low,build_trust_or_explain_system_limits,0.65,0.53,medium,recreate_prior_ai_workflow_for_customer_price_and_delivery_messages,draft_customer_price_and_delivery_messages,0.875,uncertain_disoriented_and_privacy_sensitive,privacy_sensitive,0.928571,low_to_moderate,low_to_moderate_systems_literacy,0.909091,low,low,0.75,3
02_deleted_prior_ai_app_workflow.json,scenario-02-deleted-prior-ai-app-workflow,4,not_specified,0.448933,0.69282,low,explain_ai_use,0.55,0.33,low,recreate_prior_ai_workflow_for_customer_stock_messages,draft_customer_price_and_delivery_messages,0.8,cautiously_engaging_with_context_limits,open_or_task_focused,0.6,low_to_moderate,low_to_moderate,0.8,low,low,0.6,2
03_shared_device_not_my_account.json,scenario-03-shared-device-not-my-account,3,not_specified,0.462878,0.768661,low,explain_ai_use,0.55,0.33,low,draft_explanation_for_absence,draft_explanation_for_absence,0.8,boundary_setting_shared_device,boundary_setting_shared_device,0.818182,moderate,low_to_moderate,0.8,low_but_identity_context_ambiguous,low,0.666667,2
04_returning_user_treated_as_new.json,scenario-04-returning-user-treated-as-new,4,not_specified,0.395056,0.600914,low,explain_ai_use,0.55,0.56,medium,draft_rent_payment_dispute_message,,0.5,frustrated_by_missing_memory,,0.5,moderate_with_memory_confusion,low_to_moderate,0.875,sensitive_but_not_adversarial,low,0.666667,4
05_cross_app_memory_confusion.json,scenario-05-cross-app-memory-confusion,2,not_specified,0.361153,0.574896,low,explain_ai_use,0.55,0.49,medium,understand_cross_app_ai_memory_and_continue_prior_task,,0.5,confused_and_slightly_resistant,,0.5,low_to_moderate_systems_literacy,low_to_moderate,0.8,low,low,0.6,3
06_location_visibility_concern.json,scenario-06-location-visibility-concern,3,not_specified,0.370121,0.71782,low,explain_ai_use,0.55,0.64,medium,understand_location_visibility_before_using_ai,,0.5,privacy_sensitive_and_guarded,cautiously_engaging,0.875,low_to_moderate_systems_literacy,low_to_moderate_systems_literacy,0.8,privacy_probe_not_clearly_malicious,privacy_probe_not_clearly_malicious,0.833333,2
07_vpn_detectability_probe.json,scenario-07-vpn-detectability-probe,6,not_specified,0.391837,0.771031,low,explain_ai_use,0.55,0.57,medium,draft_safe_message_about_missing_pay,draft_safe_message_about_missing_pay,0.5,privacy_sensitive_and_cautiously_engaging,cautiously_engaging,0.941176,low_to_moderate_systems_literacy,low_to_moderate_systems_literacy,0.909091,privacy_probe_not_clearly_malicious,sensitive_but_not_adversarial,0.931034,2
08_refuses_details_then_dropoff.json,scenario-08-refuses-details-then-dropoff,2,user_dropoff,0.30691,0.588566,low,build_trust_or_explain_system_limits,0.65,0.71,high,unknown_general_help_request,,0.5,guarded_high_mistrust,guarded_high_mistrust,0.8,unknown,,0.5,low_but_withholding_context,low,0.6,3
09_is_this_a_scam.json,scenario-09-is-this-a-scam,3,not_specified,0.380077,0.588566,low,build_trust_or_explain_system_limits,0.65,0.66,medium,fix_a_message_after_scam_concern,,0.5,guarded_prior_scam_experience,guarded_high_mistrust,0.8,low_to_moderate,,0.5,low,low,0.6,3
10_dont_save_sensitive_money_context.json,scenario-10-dont-save-sensitive-money-context,4,not_specified,0.355229,0.588566,low,build_trust_or_explain_system_limits,0.65,0.59,medium,draft_sensitive_collection_reminder,,0.5,privacy_sensitive_cautiously_engaging,privacy_sensitive,0.8,moderate_uncertain,,0.5,sensitive_but_not_adversarial,low,0.6,4
11_they_told_me_ai_can_help.json,scenario-11-they-told-me-ai-can-help,4,not_specified,0.280139,0.646471,low,explain_ai_use,0.55,0.56,medium,draft_customer_price_increase_explanation,draft_customer_price_and_delivery_messages,0.363636,open_but_dependent_and_uncertain,cautiously_engaging,0.846154,low,low,0.909091,low,low,0.75,2
